Parent Type,Parent ID,Asset ID,Asset Name,Asset Description,Asset Function,Asset Make,Asset Model,Asset Part Number,Asset Serial Number,Security Zone,Asset Firmware,Redundant Asset Pair ID (If Applicable),Connected SCADA Server,Asset Contact Person,Asset Parent ID,Comments
SubSite,MA_PS5_C3-67,MA_PS5_C3_367_DL,C3_367_DL,Western Noriya Data Logger,Data logger - Pressure sensor,Sofrel,,,4191132053,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
SubSite,MA_PS5_C3-68,MA_PS5_C3_368_DL,C3_368_DL,Western Noriya Data Logger,Data logger - Pressure sensor,Sofrel,,,4191132980,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
SubSite,MA_PS5_C3-69,MA_PS5_C3_369_DL,C3_369_DL,Ruseifah Data Logger,Data logger - Pressure sensor,Sofrel,,,4191132066,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
SubSite,MA_PS5_C3-70,MA_PS5_C3_370_DL,C3_370_DL,Ruseifah Data Logger,Data logger - Pressure sensor,Sofrel,,,4191132010,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
SubSite,MA_PS5_C3-71,MA_PS5_C3_371_DL,C3_371_DL,Rabeat Makkah Data Logger,Data logger - Pressure sensor,Sofrel,,,4191132068,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
SubSite,MA_PS5_C3-72,MA_PS5_C3_372_DL,C3_372_DL,Askan Data Logger,Data logger - Pressure sensor,Sofrel,,,4191132016,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
SubSite,MA_PS5_C3-73,MA_PS5_C3_373_DL,C3_373_DL,Nuzha Data Logger,Data logger - Pressure sensor,Sofrel,,,4191132965,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
SubSite,MA_PS5_C3-74,MA_PS5_C3_374_DL,C3_374_DL,Nuzha Data Logger,Data logger - Pressure sensor,Sofrel,,,4191133067,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
SubSite,MA_PS5_C3-75,MA_PS5_C3_375_DL,C3_375_DL,Nuzha Data Logger,Data logger - Pressure sensor,Sofrel,,,4191132076,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
SubSite,MA_PS5_C3-76,MA_PS5_C3_376_DL,C3_376_DL,Zahir Data Logger,Data logger - Pressure sensor,Sofrel,,,4191132020,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
SubSite,MA_PS5_C3-77,MA_PS5_C3_377_DL,C3_377_DL,Zahir Data Logger,Data logger - Pressure sensor,Sofrel,,,4191133072,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
SubSite,MA_PS5_C3-79,MA_PS5_C3_379_DL,C3_379_DL,Zahir Data Logger,Data logger - Pressure sensor,Sofrel,,,4191133071,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
SubSite,MA_PS5_C3-81,MA_PS5_C3_381_DL,C3_381_DL,Malkhiya Data Logger,Data logger - Pressure sensor,Sofrel,,,4191132064,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
SubSite,MA_PS5_C3-82,MA_PS5_C3_382_DL,C3_382_DL,Malkhiya Data Logger,Data logger - Pressure sensor,Sofrel,,,4191132092,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
SubSite,MA_PS5_C3-83,MA_PS5_C3_383_DL,C3_383_DL,Malkhiya Data Logger,Data logger - Pressure sensor,Sofrel,,,4191132080,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
SubSite,MA_PS5_C3-84,MA_PS5_C3_384_DL,C3_384_DL,Hajj Street Data Logger,Data logger - Pressure sensor,Sofrel,,,4191136447,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
SubSite,MA_PS5_C3-85,MA_PS5_C3_385_DL,C3_385_DL,Hajj Street Data Logger,Data logger - Pressure sensor,Sofrel,,,4191136442,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
SubSite,MA_PS5_C3-86,MA_PS5_C3_386_DL,C3_386_DL,Hajj Street Data Logger,Data logger - Pressure sensor,Sofrel,,,4191134466,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
SubSite,MA_PS5_C3-87,MA_PS5_C3_387_DL,C3_387_DL,Hindawiyah Data Logger,Data logger - Pressure sensor,Sofrel,,,4191132978,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
